year	month	day	symbol	nav	kinni	enne55_jatkab	katkestab_3ei	katkestab_3jah	parast55_jatkab_3ei	parast55_jatkab_3jah
2004	5	27	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	28	SWK25	0.71198	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	29	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	30	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	31	SWK25	0.71134	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	1	SWK25	0.7107	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	2	SWK25	0.7107	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	3	SWK25	0.70942	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	4	SWK25	0.70942	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	5	SWK25	0.70942	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	6	SWK25	0.70942	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	7	SWK25	0.71198	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	8	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	9	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	10	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	11	SWK25	0.71198	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	12	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	13	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	14	SWK25	0.71006	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	15	SWK25	0.71198	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	16	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	17	SWK25	0.71198	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	18	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	19	SWK25	0.71198	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	20	SWK25	0.71198	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	21	SWK25	0.71325	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	22	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	23	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	24	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	25	SWK25	0.71453	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	26	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
