year	month	day	symbol	nav	kinni	enne55_jatkab	katkestab_3ei	katkestab_3jah	parast55_jatkab_3ei	parast55_jatkab_3jah
2010	3	16	LSK00	1.05168	0	0.06	0	0	0.02	0.02
2010	3	17	LSK00	1.05394	0	0.06	0	0	0.02	0.02
2010	3	18	LSK00	1.05476	0	0.06	0	0	0.02	0.02
2010	3	19	LSK00	1.05509	0	0.06	0	0	0.02	0.02
2010	3	20	LSK00	1.05476	0	0.06	0	0	0.02	0.02
2010	3	21	LSK00	1.05476	0	0.06	0	0	0.02	0.02
2010	3	22	LSK00	1.05511	0	0.06	0	0	0.02	0.02
2010	3	23	LSK00	1.05566	0	0.06	0	0	0.02	0.02
2010	3	24	LSK00	1.05649	0	0.06	0	0	0.02	0.02
2010	3	25	LSK00	1.05685	0	0.06	0	0	0.02	0.02
2010	3	26	LSK00	1.05627	0	0.06	0	0	0.02	0.02
2010	3	27	LSK00	1.05685	0	0.06	0	0	0.02	0.02
2010	3	28	LSK00	1.05685	0	0.06	0	0	0.02	0.02
2010	3	29	LSK00	1.0565	0	0.06	0	0	0.02	0.02
2010	3	30	LSK00	1.05692	0	0.06	0	0	0.02	0.02
2010	3	31	LSK00	1.05661	0	0.06	0	0	0.02	0.02
2010	4	1	LSK00	1.05637	0	0.06	0	0	0.02	0.02
2010	4	2	LSK00	1.05637	0	0.06	0	0	0.02	0.02
2010	4	3	LSK00	1.05661	0	0.06	0	0	0.02	0.02
2010	4	4	LSK00	1.05661	0	0.06	0	0	0.02	0.02
2010	4	5	LSK00	1.05687	0	0.06	0	0	0.02	0.02
2010	4	6	LSK00	1.05751	0	0.06	0	0	0.02	0.02
2010	4	7	LSK00	1.05793	0	0.06	0	0	0.02	0.02
2010	4	8	LSK00	1.05801	0	0.06	0	0	0.02	0.02
2010	4	9	LSK00	1.05733	0	0.06	0	0	0.02	0.02
2010	4	10	LSK00	1.05801	0	0.06	0	0	0.02	0.02
2010	4	11	LSK00	1.05801	0	0.06	0	0	0.02	0.02
2010	4	12	LSK00	1.05688	0	0.06	0	0	0.02	0.02
2010	4	13	LSK00	1.05723	0	0.06	0	0	0.02	0.02
2010	4	14	LSK00	1.05744	0	0.06	0	0	0.02	0.02
2010	4	15	LSK00	1.05803	0	0.06	0	0	0.02	0.02
2010	4	16	LSK00	1.05874	0	0.06	0	0	0.02	0.02
2010	4	17	LSK00	1.05803	0	0.06	0	0	0.02	0.02
2010	4	18	LSK00	1.05803	0	0.06	0	0	0.02	0.02
2010	4	19	LSK00	1.0584	0	0.06	0	0	0.02	0.02
2010	4	20	LSK00	1.05875	0	0.06	0	0	0.02	0.02
2010	4	21	LSK00	1.05927	0	0.06	0	0	0.02	0.02
2010	4	22	LSK00	1.05955	0	0.06	0	0	0.02	0.02
2010	4	23	LSK00	1.05964	0	0.06	0	0	0.02	0.02
2010	4	24	LSK00	1.05955	0	0.06	0	0	0.02	0.02
2010	4	25	LSK00	1.05955	0	0.06	0	0	0.02	0.02
2010	4	26	LSK00	1.05865	0	0.06	0	0	0.02	0.02
2010	4	27	LSK00	1.05962	0	0.06	0	0	0.02	0.02
2010	4	28	LSK00	1.05887	0	0.06	0	0	0.02	0.02
2010	4	29	LSK00	1.05843	0	0.06	0	0	0.02	0.02
2010	4	30	LSK00	1.05795	0	0.06	0	0	0.02	0.02
2010	5	1	LSK00	1.05843	0	0.06	0	0	0.02	0.02
2010	5	2	LSK00	1.05843	0	0.06	0	0	0.02	0.02
2010	5	3	LSK00	1.05919	0	0.06	0	0	0.02	0.02
2010	5	4	LSK00	1.06055	0	0.06	0	0	0.02	0.02
2010	5	5	LSK00	1.0616	0	0.06	0	0	0.02	0.02
2010	5	6	LSK00	1.06042	0	0.06	0	0	0.02	0.02
2010	5	7	LSK00	1.05537	0	0.06	0	0	0.02	0.02
2010	5	8	LSK00	1.06042	0	0.06	0	0	0.02	0.02
2010	5	9	LSK00	1.06042	0	0.06	0	0	0.02	0.02
2010	5	10	LSK00	1.05533	0	0.06	0	0	0.02	0.02
2010	5	11	LSK00	1.05744	0	0.06	0	0	0.02	0.02
2010	5	12	LSK00	1.05803	0	0.06	0	0	0.02	0.02
2010	5	13	LSK00	1.05985	0	0.06	0	0	0.02	0.02
2010	5	14	LSK00	1.06133	0	0.06	0	0	0.02	0.02
2010	5	15	LSK00	1.05985	0	0.06	0	0	0.02	0.02
2010	5	16	LSK00	1.05985	0	0.06	0	0	0.02	0.02
2010	5	17	LSK00	1.0613	0	0.06	0	0	0.02	0.02
2010	5	18	LSK00	1.0615	0	0.06	0	0	0.02	0.02
2010	5	19	LSK00	1.06091	0	0.06	0	0	0.02	0.02
2010	5	20	LSK00	1.05562	0	0.06	0	0	0.02	0.02
2010	5	21	LSK00	1.05643	0	0.06	0	0	0.02	0.02
2010	5	22	LSK00	1.05562	0	0.06	0	0	0.02	0.02
2010	5	23	LSK00	1.05562	0	0.06	0	0	0.02	0.02
2010	5	24	LSK00	1.05785	0	0.06	0	0	0.02	0.02
2010	5	25	LSK00	1.05725	0	0.06	0	0	0.02	0.02
2010	5	26	LSK00	1.05737	0	0.06	0	0	0.02	0.02
2010	5	27	LSK00	1.05877	0	0.06	0	0	0.02	0.02
2010	5	28	LSK00	1.05999	0	0.06	0	0	0.02	0.02
2010	5	29	LSK00	1.05877	0	0.06	0	0	0.02	0.02
2010	5	30	LSK00	1.05877	0	0.06	0	0	0.02	0.02
2010	5	31	LSK00	1.06084	0	0.06	0	0	0.02	0.02
2010	6	1	LSK00	1.05978	0	0.06	0	0	0.02	0.02
2010	6	2	LSK00	1.06054	0	0.06	0	0	0.02	0.02
2010	6	3	LSK00	1.06239	0	0.06	0	0	0.02	0.02
2010	6	4	LSK00	1.06056	0	0.06	0	0	0.02	0.02
2010	6	5	LSK00	1.06239	0	0.06	0	0	0.02	0.02
2010	6	6	LSK00	1.06239	0	0.06	0	0	0.02	0.02
2010	6	7	LSK00	1.06007	0	0.06	0	0	0.02	0.02
2010	6	8	LSK00	1.06047	0	0.06	0	0	0.02	0.02
2010	6	9	LSK00	1.06031	0	0.06	0	0	0.02	0.02
2010	6	10	LSK00	1.05967	0	0.06	0	0	0.02	0.02
2010	6	11	LSK00	1.06083	0	0.06	0	0	0.02	0.02
2010	6	12	LSK00	1.05967	0	0.06	0	0	0.02	0.02
2010	6	13	LSK00	1.05967	0	0.06	0	0	0.02	0.02
2010	6	14	LSK00	1.0619	0	0.06	0	0	0.02	0.02
2010	6	15	LSK00	1.06059	0	0.06	0	0	0.02	0.02
2010	6	16	LSK00	1.05458	0	0.06	0	0	0.02	0.02
2010	6	17	LSK00	1.05534	0	0.06	0	0	0.02	0.02
2010	6	18	LSK00	1.05586	0	0.06	0	0	0.02	0.02
2010	6	19	LSK00	1.05534	0	0.06	0	0	0.02	0.02
2010	6	20	LSK00	1.05534	0	0.06	0	0	0.02	0.02
2010	6	21	LSK00	1.0584	0	0.06	0	0	0.02	0.02
2010	6	22	LSK00	1.05895	0	0.06	0	0	0.02	0.02
2010	6	23	LSK00	1.05895	0	0.06	0	0	0.02	0.02
2010	6	24	LSK00	1.05895	0	0.06	0	0	0.02	0.02
2010	6	25	LSK00	1.05867	0	0.06	0	0	0.02	0.02
2010	6	26	LSK00	1.05895	0	0.06	0	0	0.02	0.02
2010	6	27	LSK00	1.05895	0	0.06	0	0	0.02	0.02
2010	6	28	LSK00	1.05706	0	0.06	0	0	0.02	0.02
2010	6	29	LSK00	1.05449	0	0.06	0	0	0.02	0.02
2010	6	30	LSK00	1.05394	0	0.06	0	0	0.02	0.02
2010	7	1	LSK00	1.05264	0	0.06	0	0	0.02	0.02
2010	7	2	LSK00	1.05124	0	0.06	0	0	0.02	0.02
2010	7	3	LSK00	1.05264	0	0.06	0	0	0.02	0.02
2010	7	4	LSK00	1.05264	0	0.06	0	0	0.02	0.02
2010	7	5	LSK00	1.05198	0	0.06	0	0	0.02	0.02
2010	7	6	LSK00	1.0528	0	0.06	0	0	0.02	0.02
2010	7	7	LSK00	1.0537	0	0.06	0	0	0.02	0.02
2010	7	8	LSK00	1.05326	0	0.06	0	0	0.02	0.02
2010	7	9	LSK00	1.05407	0	0.06	0	0	0.02	0.02
2010	7	10	LSK00	1.05326	0	0.06	0	0	0.02	0.02
2010	7	11	LSK00	1.05326	0	0.06	0	0	0.02	0.02
2010	7	12	LSK00	1.05515	0	0.06	0	0	0.02	0.02
2010	7	13	LSK00	1.05697	0	0.06	0	0	0.02	0.02
2010	7	14	LSK00	1.05676	0	0.06	0	0	0.02	0.02
2010	7	15	LSK00	1.05592	0	0.06	0	0	0.02	0.02
2010	7	16	LSK00	1.05649	0	0.06	0	0	0.02	0.02
2010	7	17	LSK00	1.05592	0	0.06	0	0	0.02	0.02
2010	7	18	LSK00	1.05592	0	0.06	0	0	0.02	0.02
2010	7	19	LSK00	1.0563	0	0.06	0	0	0.02	0.02
2010	7	20	LSK00	1.05765	0	0.06	0	0	0.02	0.02
2010	7	21	LSK00	1.05925	0	0.06	0	0	0.02	0.02
2010	7	22	LSK00	1.05976	0	0.06	0	0	0.02	0.02
2010	7	23	LSK00	1.0596	0	0.06	0	0	0.02	0.02
2010	7	24	LSK00	1.05976	0	0.06	0	0	0.02	0.02
2010	7	25	LSK00	1.05976	0	0.06	0	0	0.02	0.02
2010	7	26	LSK00	1.05944	0	0.06	0	0	0.02	0.02
2010	7	27	LSK00	1.06031	0	0.06	0	0	0.02	0.02
2010	7	28	LSK00	1.06116	0	0.06	0	0	0.02	0.02
2010	7	29	LSK00	1.06155	0	0.06	0	0	0.02	0.02
2010	7	30	LSK00	1.06222	0	0.06	0	0	0.02	0.02
2010	7	31	LSK00	1.06155	0	0.06	0	0	0.02	0.02
2010	8	1	LSK00	1.06155	0	0.06	0	0	0.02	0.02
2010	8	2	LSK00	1.06278	0	0.06	0	0	0.02	0.02
2010	8	3	LSK00	1.0631	0	0.06	0	0	0.02	0.02
2010	8	4	LSK00	1.06512	0	0.06	0	0	0.02	0.02
2010	8	5	LSK00	1.06569	0	0.06	0	0	0.02	0.02
2010	8	6	LSK00	1.06637	0	0.06	0	0	0.02	0.02
2010	8	7	LSK00	1.06569	0	0.06	0	0	0.02	0.02
2010	8	8	LSK00	1.06569	0	0.06	0	0	0.02	0.02
2010	8	9	LSK00	1.06619	0	0.06	0	0	0.02	0.02
2010	8	10	LSK00	1.06699	0	0.06	0	0	0.02	0.02
2010	8	11	LSK00	1.06937	0	0.06	0	0	0.02	0.02
2010	8	12	LSK00	1.07034	0	0.06	0	0	0.02	0.02
2010	8	13	LSK00	1.0711	0	0.06	0	0	0.02	0.02
2010	8	14	LSK00	1.07034	0	0.06	0	0	0.02	0.02
2010	8	15	LSK00	1.07034	0	0.06	0	0	0.02	0.02
2010	8	16	LSK00	1.0715	0	0.06	0	0	0.02	0.02
2010	8	17	LSK00	1.0723	0	0.06	0	0	0.02	0.02
2010	8	18	LSK00	1.07297	0	0.06	0	0	0.02	0.02
2010	8	19	LSK00	1.07505	0	0.06	0	0	0.02	0.02
2010	8	20	LSK00	1.07505	0	0.06	0	0	0.02	0.02
2010	8	21	LSK00	1.07297	0	0.06	0	0	0.02	0.02
2010	8	22	LSK00	1.07297	0	0.06	0	0	0.02	0.02
2010	8	23	LSK00	1.07672	0	0.06	0	0	0.02	0.02
2010	8	24	LSK00	1.0782	0	0.06	0	0	0.02	0.02
2010	8	25	LSK00	1.07891	0	0.06	0	0	0.02	0.02
2010	8	26	LSK00	1.07883	0	0.06	0	0	0.02	0.02
2010	8	27	LSK00	1.07809	0	0.06	0	0	0.02	0.02
2010	8	28	LSK00	1.07883	0	0.06	0	0	0.02	0.02
2010	8	29	LSK00	1.07883	0	0.06	0	0	0.02	0.02
2010	8	30	LSK00	1.07853	0	0.06	0	0	0.02	0.02
2010	8	31	LSK00	1.08015	0	0.06	0	0	0.02	0.02
2010	9	1	LSK00	1.07975	0	0.06	0	0	0.02	0.02
2010	9	2	LSK00	1.07965	0	0.06	0	0	0.02	0.02
2010	9	3	LSK00	1.07926	0	0.06	0	0	0.02	0.02
2010	9	4	LSK00	1.07965	0	0.06	0	0	0.02	0.02
2010	9	5	LSK00	1.07965	0	0.06	0	0	0.02	0.02
2010	9	6	LSK00	1.07949	0	0.06	0	0	0.02	0.02
2010	9	7	LSK00	1.08147	0	0.06	0	0	0.02	0.02
2010	9	8	LSK00	1.08189	0	0.06	0	0	0.02	0.02
2010	9	9	LSK00	1.08192	0	0.06	0	0	0.02	0.02
2010	9	10	LSK00	1.08185	0	0.06	0	0	0.02	0.02
2010	9	11	LSK00	1.08192	0	0.06	0	0	0.02	0.02
2010	9	12	LSK00	1.08192	0	0.06	0	0	0.02	0.02
2010	9	13	LSK00	1.08105	0	0.06	0	0	0.02	0.02
2010	9	14	LSK00	1.08135	0	0.06	0	0	0.02	0.02
2010	9	15	LSK00	1.08074	0	0.06	0	0	0.02	0.02
2010	9	16	LSK00	1.07967	0	0.06	0	0	0.02	0.02
2010	9	17	LSK00	1.0796	0	0.06	0	0	0.02	0.02
2010	9	18	LSK00	1.07967	0	0.06	0	0	0.02	0.02
2010	9	19	LSK00	1.07967	0	0.06	0	0	0.02	0.02
2010	9	20	LSK00	1.07961	0	0.06	0	0	0.02	0.02
